Menu Section|Menu Item|Description|Price
|Oyster, Tatase Relish|GAMBIAN STEW|
|Mackerel, Vatapá|MOIMOI|
|Goat Cashew Cream, Exmoor caviar|TATALE|£35 Supplement
||Lake District Beef, Carrot, Wild Garlic|Rof|
||JOLLOF RICE||
||Uda Ice Cream, Chocolate Coffee Cake|CAFÉ TOUBA|
|SWEETS|||
||Menu||£55
||Akoko Pairing||£50
||Wine Pairing||£60
||Soft Pairing||£35
VEGETARIAN|Potato, Tatase Relish|GAMBIAN STEW|
VEGETARIAN|Grilled Leek, Vatapá|MOIMOI|
VEGETARIAN|Carrot, Aubergine, Shito|XO JOLLOF RICE|
VEGETARIAN||Uda Ice Cream, Chocolate Coffee Cake|CAFÉ TOUBA|
VEGETARIAN|SWEETS|||
VEGETARIAN||Menu||£55
VEGETARIAN||Akoko Pairing||£50
VEGETARIAN||Wine Pairing||£60
VEGETARIAN||Soft Pairing||£35
PESCATARIAN|Oyster, Tatase Relish|GAMBIAN STEW|
PESCATARIAN|Mackerel, Vatapá||
PESCATARIAN|Goat Cashew Cream, Exmoor Caviar||
PESCATARIAN||MOIMOI||
PESCATARIAN||TATALE|£35 Supplement
PESCATARIAN|Octopus, Aubergine, Shito|JOLLOF RICE|
PESCATARIAN||Uda Ice Cream, Chocolate Coffee Cake|CAFÉ TOUBA|
PESCATARIAN|SWEETS|||
PESCATARIAN||Menu||£55
PESCATARIAN||Akoko Pairing||£50
PESCATARIAN||Wine Pairing||£60
PESCATARIAN||Soft Pairing||£35
VEGAN|Potato, Tatase Relish|GAMBIAN STEW|
VEGAN|Grilled Leek, Vatapá|MOIMOI|
VEGAN|Carrot, Aubergine, Shito|JOLLOF RICE|
VEGAN||Uda Sorbet, Chocolate Coffee Cake|CAFÉ TOUBA|
VEGAN|SWEETS|||
VEGAN||Menu||£55
VEGAN||Akoko Pairing||£50
VEGAN||Wine Pairing||£60
VEGAN||Soft Pairing||£35

Metadata,
restaurantName,Akoko
location,Seaford Street
website,akokorestaurant.com
cuisine,West African 
